,time,open,high,low,close,volume
362,2025-05-15,12.33,12.52,12.1,12.48,47932676
363,2025-05-16,12.52,12.76,12.43,12.43,67975961
364,2025-05-19,12.33,12.52,12.19,12.19,43209615
365,2025-05-20,12.24,12.76,12.1,12.67,64813247
366,2025-05-21,12.81,12.95,12.62,12.76,49426759
367,2025-05-22,12.81,13.57,12.71,12.91,105925219
368,2025-05-23,13.14,13.19,12.67,12.76,42513501
369,2025-05-26,12.81,13.0,12.33,12.91,54047595
370,2025-05-27,13.0,13.19,12.81,12.95,46203526
371,2025-05-28,13.19,13.52,12.91,13.14,74846170
372,2025-05-29,13.24,13.57,13.05,13.24,55376506
373,2025-05-30,13.24,13.43,12.86,13.0,44896501
374,2025-06-02,12.95,13.24,12.86,13.24,33489952
375,2025-06-03,13.48,13.76,13.29,13.38,65423748
376,2025-06-04,13.43,13.67,13.33,13.43,39336364
377,2025-06-05,13.43,13.52,13.05,13.19,50723507
378,2025-06-06,13.14,13.19,12.81,12.91,47697566
379,2025-06-09,12.91,13.0,12.48,12.52,37908778
380,2025-06-10,12.52,12.81,12.52,12.57,38525173
381,2025-06-11,12.71,12.86,12.57,12.67,23933758
382,2025-06-12,12.76,12.91,12.71,12.76,26893276
383,2025-06-13,12.52,12.62,12.19,12.38,65968737
384,2025-06-16,12.29,12.67,12.29,12.67,23987716
385,2025-06-17,12.71,12.76,12.48,12.52,27637818
386,2025-06-18,12.75,12.8,12.55,12.6,22721858
387,2025-06-19,12.6,12.6,12.4,12.45,15401377
388,2025-06-20,12.55,12.7,12.5,12.55,14695637
389,2025-06-23,12.45,12.5,12.15,12.45,22303687
390,2025-06-24,12.7,13.1,12.65,12.9,53389464
391,2025-06-25,12.95,13.0,12.8,12.85,21464806
392,2025-06-26,12.8,12.85,12.6,12.7,17674107
393,2025-06-27,12.85,12.9,12.65,12.7,16834615
394,2025-06-30,12.9,13.0,12.75,12.75,19161579
395,2025-07-01,12.9,12.9,12.65,12.8,25903800
396,2025-07-02,12.8,13.65,12.8,13.65,120961800
397,2025-07-03,13.7,14.6,13.6,14.15,125401100
398,2025-07-04,14.3,14.8,14.3,14.55,74330400
399,2025-07-07,14.75,15.2,14.55,14.85,69939100
400,2025-07-08,14.85,15.2,14.75,15.15,55672600
401,2025-07-09,15.3,16.0,15.3,15.55,60326700
402,2025-07-10,15.65,15.75,15.2,15.6,46300600
403,2025-07-11,15.6,16.1,15.45,15.85,50644800
404,2025-07-14,15.85,15.9,15.35,15.8,46475900
405,2025-07-15,15.75,16.7,15.7,16.0,60606300
406,2025-07-16,16.0,17.1,16.0,17.1,91904900
407,2025-07-17,17.7,18.0,17.35,17.65,51288400
408,2025-07-18,17.9,18.85,17.8,18.85,65011100
409,2025-07-21,19.45,19.7,18.6,19.3,71038700
410,2025-07-22,19.15,20.65,19.1,20.65,61721300
411,2025-07-23,21.5,22.05,20.85,21.65,64590100
412,2025-07-24,22.0,22.5,21.4,22.5,44869600
413,2025-07-25,22.9,24.05,22.7,24.05,35258900
414,2025-07-28,25.6,25.7,25.15,25.7,32943200
415,2025-07-29,27.35,27.35,23.95,23.95,118786000
416,2025-07-30,24.4,25.6,23.45,25.6,72979100
417,2025-07-31,26.3,27.3,25.55,27.3,54199600
418,2025-08-01,27.3,27.8,26.0,26.3,50221700
419,2025-08-04,25.35,27.9,25.3,27.7,45086000
420,2025-08-05,28.45,28.45,25.8,26.8,77812600
421,2025-08-06,26.95,28.65,26.45,28.5,60174500
422,2025-08-07,29.2,29.2,27.75,28.35,39959500
423,2025-08-08,28.55,29.2,27.85,28.5,52277200
424,2025-08-11,29.0,29.95,28.4,29.25,46874400
425,2025-08-12,29.6,30.2,29.0,30.0,31299200
426,2025-08-13,30.0,30.45,28.3,30.35,61939500
427,2025-08-14,30.5,32.45,30.45,32.45,38549200
428,2025-08-15,34.7,34.7,33.5,34.7,45093800
429,2025-08-18,36.4,37.0,35.25,37.0,38995000
430,2025-08-19,37.25,38.05,35.8,36.3,33039100
431,2025-08-20,36.3,37.45,33.8,36.5,48731400
432,2025-08-21,37.3,37.5,35.0,35.0,33667700
433,2025-08-22,34.4,35.5,32.9,34.5,43479600
434,2025-08-25,36.45,36.45,32.3,32.6,35657100
435,2025-08-26,32.45,34.85,32.3,34.85,32111700
436,2025-08-27,36.05,37.25,35.5,36.85,61173100
437,2025-08-28,37.0,38.45,35.85,38.4,58098900
438,2025-08-29,38.8,39.25,37.65,37.7,64672100
439,2025-09-03,37.6,37.85,36.9,37.45,22924900
440,2025-09-04,37.85,37.95,37.1,37.5,24527700
441,2025-09-05,38.0,38.0,35.5,36.0,38178100
442,2025-09-08,35.95,35.95,33.5,33.5,48937200
443,2025-09-09,32.6,35.5,31.55,35.5,38455200
444,2025-09-10,36.4,36.45,35.15,35.8,33130600
445,2025-09-11,35.7,35.7,33.3,34.8,44949800
446,2025-09-12,35.05,35.15,34.35,35.0,27309800
447,2025-09-15,36.5,37.45,36.0,37.45,49369000
448,2025-09-16,39.95,39.95,37.5,38.0,62363500
449,2025-09-17,37.5,37.7,36.5,36.5,20204000
450,2025-09-18,36.7,37.45,35.7,37.0,27618300
451,2025-09-19,37.1,37.5,35.2,35.2,39114500
452,2025-09-22,36.0,36.2,33.55,36.15,47687900
453,2025-09-23,36.15,37.2,35.75,36.9,23333000
454,2025-09-24,37.15,37.15,36.0,37.1,25941200
455,2025-09-25,37.3,38.0,37.05,37.25,24967300
456,2025-09-26,37.4,37.4,35.95,36.0,22037800
457,2025-09-29,36.0,36.7,35.5,36.1,17398800
458,2025-09-30,36.5,36.5,35.15,36.1,17665600
459,2025-10-01,36.8,37.8,36.55,37.0,31091800
460,2025-10-02,37.5,37.5,36.05,36.2,14714700
461,2025-10-03,36.1,36.1,35.1,35.5,22114400
462,2025-10-06,36.5,37.95,36.0,37.95,44750500
463,2025-10-07,38.0,38.9,37.35,37.5,27375700
464,2025-10-08,38.5,38.75,36.55,38.1,41788400
465,2025-10-09,38.9,38.9,37.6,38.1,31750600
466,2025-10-10,38.0,38.7,37.45,37.65,40677300
467,2025-10-13,37.05,37.65,36.7,37.5,33204000
468,2025-10-14,38.2,40.05,38.1,39.1,76556600
469,2025-10-15,39.8,40.2,39.15,39.6,42894900
470,2025-10-16,40.05,40.45,39.2,39.55,37095400
471,2025-10-17,39.7,40.15,38.25,38.4,42432700
472,2025-10-20,38.2,39.0,35.75,35.75,45007500
473,2025-10-21,35.55,36.2,33.4,34.7,76646100
474,2025-10-22,34.85,35.1,32.5,34.8,35307200
475,2025-10-23,35.0,35.0,33.1,33.1,22088700
